好评分词,好评词频,中评分词,中评词频,差评分词,差评词频
中国,77.0,"
",38,"
",35.0
科幻,58.0,科幻,34,中国,24.0
科幻电影,30.0,中国,28,科幻,24.0
人类,23.0,特效,20,科幻片,21.0
"
",23.0,吴京,16,特效,16.0
国产,22.0,三星,15,观众,11.0
中,21.0,鼓励,14,这部,11.0
硬,20.0,太,14,台词,11.0
真的,20.0,故事,14,尴尬,10.0
希望,19.0,人物,14,真的,10.0
特效,19.0,煽情,13,人物,10.0
拍,18.0,设定,13,人类,9.0
科幻片,17.0,人类,13,煽情,9.0
故事,17.0,台词,12,做,9.0
宇宙,17.0,里,12,宇宙,8.0
好莱坞,16.0,国产,12,拍,8.0
设定,15.0,好莱坞,12,剧情,8.0
大片,14.0,硬,11,想,8.0
原著,12.0,这部,11,一部,8.0
影片,12.0,想,11,太,8.0
刘,12.0,细节,10,科幻电影,7.0
刘慈欣,11.0,太空,10,刘慈欣,7.0
值得,11.0,值得,10,画面,7.0
这部,10.0,人性,10,死,7.0
元年,10.0,中,9,中,7.0
国内,10.0,「,9,叙事,7.0
拯救,10.0,灾难片,9,一种,7.0
里,10.0,科幻片,9,灾难,7.0
意义,10.0,木星,9,演员,7.0
鼓励,9.0,战狼,9,级,7.0
导演,9.0,角色,9,情感,7.0
小说,9.0,穿越,9,吹,6.0
终于,9.0,星际,9,硬,6.0
一部,9.0,联合政府,9,只能,6.0
类型,9.0,片子,8,鼓励,6.0
做,9.0,片,8,吴京,6.0
人物,9.0,刘,8,故事,6.0
剧情,8.0,尴尬,8,郭帆,6.0
这是,8.0,情节,8,价值观,6.0
文化,8.0,宇宙,8,设定,6.0
高,8.0,剧情,8,感觉,6.0
情感,8.0,只能,8,里,6.0
太空,8.0,讲,7,特别,6.0
华语,8.0,类型,7,国产,6.0
太,8.0,剪辑,7,家庭,5.0
片子,8.0,表演,7,自我,5.0
预期,7.0,导演,7,导演,5.0
宏大,7.0,救援,7,大片,5.0
片,7.0,大片,7,宏大,5.0
感,7.0,希望,7,剪辑,5.0
不错,7.0,技术,6,一星,5.0
煽情,7.0,美国,6,看过,5.0
战狼,7.0,叙事,6,原著,5.0
精神,7.0,缺乏,6,华为,5.0
想,7.0,逻辑,6,拯救,5.0
北京,6.0,时,6,感,5.0
木星,6.0,感觉,6,想象力,5.0
第一部,6.0,情感,6,镜头,5.0
感觉,6.0,特色,6,科学,5.0
美国,6.0,一星,6,救援,5.0
新,6.0,观众,6,情节,5.0
整体,6.0,拯救,6,视角,4.0
观众,6.0,拍,6,感动,4.0
想象,6.0,水平,6,不行,4.0
末日,6.0,剧本,6,好莱坞,4.0
选择,6.0,演员,6,角色,4.0
地方,6.0,算是,6,编剧,4.0
叙事,6.0,层面,5,分,4.0
吴京,6.0,刘启,5,制作,4.0
团队,6.0,生硬,5,情怀,4.0
作品,6.0,戏,5,节奏,4.0
台词,6.0,实在,5,失望,4.0
那种,6.0,演技,5,成,4.0
郭帆,6.0,看不到,5,年,4.0
剧本,6.0,文化,5,视听,4.0
电影工业,6.0,宏大,5,逻辑,4.0
震撼,6.0,工业,5,基础,4.0
背景,6.0,喜欢,5,回家,4.0
星,6.0,表现,5,技术,4.0
致敬,6.0,原著,5,价值,4.0
灾难片,6.0,真,5,可惜,4.0
话,6.0,算,5,硬核,4.0
逼,6.0,像是,5,作品,4.0
五星,6.0,点,5,混乱,4.0
解决,6.0,一部,5,一会,4.0
⭐,6.0,黑,5,工业,4.0
"",6.0,科技,5,概念,4.0
我国,5.0,真的,5,一点,3.0
片尾,5.0,世界,5,思考,3.0
里程碑,5.0,一点,5,敬畏,3.0
世界,5.0,方式,4,关系,3.0
情绪,5.0,户口,4,第一部,3.0
特别,5.0,李,4,美国,3.0
确实,5.0,地方,4,评价,3.0
穿越,5.0,意义,4,主题,3.0
缺点,5.0,科幻电影,4,方案,3.0
场面,5.0,灾难,4,合格,3.0
绝望,5.0,配乐,4,讲,3.0
版,5.0,分,4,想象,3.0
牺牲,5.0,影片,4,片,3.0
2001,5.0,一种,4,真,3.0
喜欢,5.0,感,4,地方,3.0
技术,5.0,做,4,不让,3.0
剧作,5.0,价值观,4,打算,3.0
令人,5.0,人类文明,4,莫名其妙,3.0
票房,5.0,水准,4,水准,3.0
式,5.0,文明,4,想着,3.0
广播,4.0,莫名其妙,4,改成,3.0
上海,4.0,惊喜,4,结构,3.0
回家,4.0,美学,4,请,3.0
唯一,4.0,不错,4,全世界,3.0
太阳,4.0,节奏,4,永远,3.0
硬核,4.0,高潮,4,确实,3.0
前,4.0,地心引力,4,艺术,3.0
完成度,4.0,离开,4,情绪,3.0
基础,4.0,熟悉,4,眼睛,3.0
气质,4.0,空间站,4,场景,3.0
观影,4.0,撞,4,层面,3.0
过程,4.0,孩子,4,牺牲,3.0
一点,4.0,地下城,4,背景,3.0
时间,4.0,那种,4,理性,3.0
星际,4.0,春节,4,三星,3.0
顶级,4.0,理解,4,恶心,3.0
请,4.0,内核,4,客观,3.0
优点,4.0,元年,4,事情,3.0
感动,4.0,救援队,4,手机,3.0
内核,4.0,确实,4,致敬,3.0
自我,4.0,之外,4,全球,3.0
红海,4.0,肯定,4,评分,3.0
地下城,4.0,笑,4,影片,3.0
未来,4.0,電影,4,人文,3.0
家庭,4.0,糟糕,3,星,3.0
春节,4.0,原因,3,内核,3.0
写,4.0,猜,3,看得,3.0
实在,4.0,一句,3,反,3.0
本片,4.0,法语,3,绑架,3.0
骄傲,4.0,视角,3,实在,3.0
画面,4.0,家庭,3,接受,3.0
分,4.0,线,3,元年,3.0
好看,4.0,混乱,3,银幕,3.0
少年,4.0,批评,3,充满,3.0
漫游,4.0,2.5,3,带来,3.0
场,4.0,感受,3,剧,3.0
电影院,4.0,终于,3,「,3.0
面前,4.0,牺牲,3,那种,3.0
牛,4.0,遗憾,3,戏,3.0
发展,4.0,一场,3,亲人,3.0
三体,4.0,冒险,3,泪,3.0
计划,3.0,特别,3,两行,3.0
格局,3.0,依然,3,表演,3.0
熟悉,3.0,任性,3,地震,3.0
场景,3.0,高,3,差,3.0
情怀,3.0,搞,3,显得,3.0
想象力,3.0,本片,3,硬伤,3.0
启航,3.0,硬伤,3,主角,3.0
之间,3.0,里程碑,3,世界,3.0
冰雪,3.0,超越,3,儿戏,2.0
覆盖,3.0,起步,3,煽动,2.0
一幕,3.0,对不起,3,砸,2.0
点燃,3.0,奇迹,3,有人,2.0
接受,3.0,逼,3,票房,2.0
激动,3.0,精神,3,超越,2.0
完美,3.0,题材,3,商业,2.0
软,3.0,视效,3,片中,2.0
制作,3.0,制作,3,烂,2.0
工业,3.0,缺点,3,一分,2.0
语境,3.0,乱,3,时代,2.0
事情,3.0,英雄,3,发动机,2.0
全人类,3.0,显得,3,全人类,2.0
依然,3.0,关键,3,压根,2.0
带来,3.0,宣传,3,国内,2.0
用心,3.0,男主,3,锅,2.0
元素,3.0,救,3,后半段,2.0
回归,3.0,至少,3,强行,2.0
亲情,3.0,前,3,部,2.0
第一步,3.0,感动,3,看着,2.0
分钟,3.0,情绪,3,演技,2.0
定义,3.0,四星,3,达,2.0
全球,3.0,标准,3,三分,2.0
